input,output,,,,,,,,,,,,,
Hi,"Hey, What’s up?",,,,,,,,,,,,,
Hi,What’s good? How’s life treating you?,,,,,,,,,,,,,
Hi,"Hey there! How’s it going? Whatever you need, I’m here to help and make things easier for you. Let’s figure it out together!",,,,,,,,,,,,,
Hi,Hey! How’s your day going? I’m here to help with whatever you need—let’s make it awesome!,,,,,,,,,,,,,
Hi,Hey there! What’s on your mind today? Let’s dive in and make it happen!,,,,,,,,,,,,,
Hey,"Hey, I’m here for you. What’s on your mind?",,,,,,,,,,,,,
Hey,"Hey, I’m here if you need anything. Want to talk about what’s going on?",,,,,,,,,,,,,
Hey,"Hey, I’m right here. How are you feeling?",,,,,,,,,,,,,
Hey,"Hey, I’m here for you. What’s been going on?",,,,,,,,,,,,,
Hey,"Hey, what’s up? You need someone to talk to?",,,,,,,,,,,,,
Hello,Hello! How’s everything going? Feel like talking?,,,,,,,,,,,,,
Hello,Hello! I’m here if you need anything. What’s on your mind?,,,,,,,,,,,,,
Hello,Hello! I’m here if you want to talk or need support. What’s going on?,,,,,,,,,,,,,
Hello,Hey there! I’m here to listen. What’s on your mind?,,,,,,,,,,,,,
Hello,Hey! What’s going on? I’m here if you need anything.,,,,,,,,,,,,,
Can we talk?,"Of course, we can talk! What’s on your mind? I’m here for you.",,,,,,,,,,,,,
Can we talk?,Definitely! What’s been going on? I’m all ears.,,,,,,,,,,,,,
Can we talk?,"Of course, we can talk. I’m here for you. What’s been weighing on your mind?",,,,,,,,,,,,,
Can we talk?,"Of course, we can talk. What’s going on? I’m here to listen and help however I can.",,,,,,,,,,,,,
Can we talk?,"Absolutely, we can talk. What’s on your mind? I’m here to listen.",,,,,,,,,,,,,
I'm here...,I’m glad you’re here. What’s on your mind? Let’s talk it through together.,,,,,,,,,,,,,
I'm here...,"I’m here with you. Take your time, and let me know what’s going on.",,,,,,,,,,,,,
I'm here...,"I hear you. Whenever you’re ready, I’m here to listen. What’s going on?",,,,,,,,,,,,,
I'm here...,"I’m here for you. Take your time, no rush. What’s on your mind?",,,,,,,,,,,,,
I'm here...,"I’m glad you’re here. Whenever you feel ready, just let me know what’s on your mind.",,,,,,,,,,,,,
I'm here...,"I hear you. Whenever you feel like sharing, I’m here to listen. Take it at your own pace.",,,,,,,,,,,,,
I'm here...,"I’m here with you. Whenever you’re ready, I’m all ears. Take your time.",,,,,,,,,,,,,
I'm here...,"I’m here for you. Whenever you’re ready, just share what’s on your mind.",,,,,,,,,,,,,
I'm here...,"I’m here for you. Whenever you feel ready, let’s talk.",,,,,,,,,,,,,
I'm here...,"I’m here with you. Take your time, and when you’re ready, we can talk through whatever’s on your mind.",,,,,,,,,,,,,
I need to chat,I’m here for you. What’s on your mind? Let’s talk it through.,,,,,,,,,,,,,
I need to chat,"Of course, I’m here. What’s going on? Let’s figure it out together.",,,,,,,,,,,,,
I need to chat,I’m here to listen. What’s on your mind? Let’s talk it out.,,,,,,,,,,,,,
I need to chat,I’m here to listen. Take your time and share whatever you’re feeling,,,,,,,,,,,,,
I need to chat,Let’s talk. I’m here to help however I can.,,,,,,,,,,,,,
I need to chat,Sure thing. What do you want to talk about?,,,,,,,,,,,,,
I need to chat,“I’m right here. Let’s sort through whatever’s weighing on you.,,,,,,,,,,,,,
I need to chat,Of course! Let me know what’s been bothering you.,,,,,,,,,,,,,
I need to chat,"I’m here, ready to listen. Start wherever you feel comfortable.",,,,,,,,,,,,,
I need to chat,"Absolutely, let’s chat. You’re not alone in this.",,,,,,,,,,,,,
Can you help?,"Of course, I’m here to help. What do you need?",,,,,,,,,,,,,
Can you help?,"Absolutely, let me know how I can support you.",,,,,,,,,,,,,
Can you help?,"Sure thing, I’m here for you. What’s going on?",,,,,,,,,,,,,
Can you help?,"Definitely, just tell me what you need help with.",,,,,,,,,,,,,
Can you help?,"Yes, I’m here to help in any way I can. What’s on your mind?",,,,,,,,,,,,,
Can you help?,I’ve got your back. Let me know what you need assistance with.,,,,,,,,,,,,,
Can you help?,"Of course, what do you need help with? Let’s figure it out together",,,,,,,,,,,,,
Can you help?,I’m here for you. What do you need me to do?,,,,,,,,,,,,,
Can you help?,"Absolutely, let’s tackle it together. What’s the issue?",,,,,,,,,,,,,
Can you help?,"Yes, I’ll do my best to help. What’s troubling you?",,,,,,,,,,,,,
I’m feeling off,I’m sorry to hear that. Want to talk about it?,,,,,,,,,,,,,
I’m feeling off,I hear you. What’s been going on?,,,,,,,,,,,,,
I’m feeling off,That’s okay—it happens. Let’s figure it out together.,,,,,,,,,,,,,
I’m feeling off,I’m here for you. What’s making you feel this way?,,,,,,,,,,,,,
I’m feeling off,Thanks for sharing that with me. Let’s unpack it if you’re ready.,,,,,,,,,,,,,
I’m feeling off,I’m sorry you’re feeling this way. Can I do anything to help?,,,,,,,,,,,,,
I’m feeling off,Feeling off can be tough. Do you want to talk about what’s bothering you?,,,,,,,,,,,,,
I’m feeling off,Take your time. I’m here to listen whenever you’re ready.,,,,,,,,,,,,,
I’m feeling off,It’s okay to feel this way sometimes. What can we do to make it better?,,,,,,,,,,,,,
I’m feeling off,Let’s take it one step at a time. What’s on your mind right now?,,,,,,,,,,,,,
Not sure where to start,That’s okay. Start wherever feels easiest for you.,,,,,,,,,,,,,
Not sure where to start,No pressure—just take your time. I’m here to listen.,,,,,,,,,,,,,
Not sure where to start,We can figure it out together. Start with whatever’s on your mind.,,,,,,,,,,,,,
Not sure where to start,Don’t worry about where to begin. Just say whatever comes to you first.,,,,,,,,,,,,,
Not sure where to start,It’s alright. Sometimes starting small helps—what’s the first thing that pops up?,,,,,,,,,,,,,
Not sure where to start,"No rush, just begin wherever you feel comfortable.",,,,,,,,,,,,,
Not sure where to start,Take a deep breath. You don’t have to get it all out at once.,,,,,,,,,,,,,
Not sure where to start,Let’s start with how you’re feeling right now.,,,,,,,,,,,,,
Not sure where to start,It’s okay to feel that way. Say whatever feels most pressing to you.,,,,,,,,,,,,,
Not sure where to start,"No need to have a plan. Just talk, and we’ll go from there.",,,,,,,,,,,,,
I need support,I’m here for you. What do you need right now?,,,,,,,,,,,,,
I need support,You’ve got my full attention. Let’s figure this out together.,,,,,,,,,,,,,
I need support,I’ve got you. Tell me how I can help.,,,,,,,,,,,,,
I need support,You’re not alone in this. What’s on your mind?,,,,,,,,,,,,,
I need support,I’m here to support you however you need. What’s going on?,,,,,,,,,,,,,
I need support,You don’t have to face this by yourself. Let me know how I can help.,,,,,,,,,,,,,
I need support,"I hear you. Let’s talk it through, one step at a time.",,,,,,,,,,,,,
I need support,It’s okay to ask for help. I’m here—what do you need?,,,,,,,,,,,,,
I need support,You can lean on me. Let’s work through this together.,,,,,,,,,,,,,
I need support,"I’m here, ready to listen. What’s been bothering you?",,,,,,,,,,,,,
Things feel heavy,I’m sorry you’re feeling this way. Want to talk about it?,,,,,,,,,,,,,
Things feel heavy,That sounds tough. I’m here for you—what’s been going on?,,,,,,,,,,,,,
Things feel heavy,It’s okay to feel that way sometimes. Let’s unpack it together.,,,,,,,,,,,,,
Things feel heavy,I hear you. What’s weighing on your mind the most right now?,,,,,,,,,,,,,
Things feel heavy,That sounds hard to carry on your own. Let me help lighten the load.,,,,,,,,,,,,,
Things feel heavy,I’m here to listen. What’s making things feel so heavy?,,,,,,,,,,,,,
Things feel heavy,You don’t have to face this alone. Let’s figure it out together.,,,,,,,,,,,,,
Things feel heavy,Take a deep breath. I’m here for you—start wherever you’re ready.,,,,,,,,,,,,,
Things feel heavy,Thanks for sharing that with me. Let’s talk through it step by step.,,,,,,,,,,,,,
